Development_Name,HUD_Number,Tenant_Data_System,Consolidated_TDS_Number,Electronic_Data_Processing,Operating_EDP_Number,HUD_Number_2,Funding_Source,Conventional_Method,Building_Type,Number_of_Section_8_Transition_Apartments,Number_of_Current_Apartments,Total_Number_of_Apartments,Number_of_Rental_Rooms,Average_Number_of_Rental_Rooms,Population_Section_8_Transition,Total_Population,Number_of_Residential_Buildings,Number_of_Non_Residential_Buildings,Number_of_Stairhalls,Number_of_Stories,Total_Area_Square_Ft,Acres,Net_Area_Square_Ft,Excluding_Park_Acres,Building_Coverage_Square_Ft,Cubic_Space,Percentage_of_Building_Coverage,Density,Development_Cost,Per_Rental_Room,Average_Monthly_Gross_Rent,Address_Line1,Address_Line2,Address_Line3,Address_Line4,Borough,Community_District,US_Congressional_District,NY_State_Senate_District,NY_State_Assembly_District,NY_City_Council_District,Completion_Date,Federalized_Development,Senior_Development,Is_Electricity_Paid_by_Residents,Is_Private_Management
BORINQUEN PLAZA I,NY005012430,243,243,353,353,NY005175,FEDERAL,TURNKEY,New Construction,,509,509,2359.5,4.64,,1172,8,2,10,7,250875,5.76,250875,5.76,96902,4544080,38.63,203.47,15625047,6556,494.32,MANHATTAN AVE,BOERUM ST,BUSHWICK AVE,VARET ST,BROOKLYN,1,7,18,53,34,1975-02-28,,PARTIALLY,,
BORINQUEN PLAZA II,NY005012430,271,243,390,353,NY005195,FEDERAL,TURNKEY,New Construction,,425,425,2265.5,5.33,,1183,7,,7,7,184000,4.22,184000,4.22,61115,4223000,33.21,280.33,16411918,7244,576,BOERUM ST,HUMBOLDT ST,SEIGEL ST,BUSHWICK AVE,BROOKLYN,1,7,18,53,34,1975-12-31,,,,
BOSTON ROAD PLAZA,NY005010390,189,39,304,304,NY005095,FEDERAL,CONVENTIONAL,New Construction (ELD),,233,235,817.5,3.51,,274,1,1,2,20,84416,1.94,84416,1.94,15045,1589318,17.82,141.24,7125145,8452,364.57,MACE AVE,HOLLAND AVE,WARING AVE,BOSTON RD,BRONX,11,14,34,80,13,1972-08-31,,EXCLUSIVELY,,
BOSTON SECOR,NY005011380,138,138,254,254,NY005060,FEDERAL,CONVENTIONAL,New Construction,,538,538,2487,4.62,,1370,4,2,5,13-14-17-18,612889,14.07,612889,14.07,36181,4849474,5.9,97.37,11894964,4778,464.01,IRT-DYRE AVE LINE,BOSTON RD,STEENWICK AVE,,BRONX,12,16,36,83,12,1969-04-30,,,,
BOULEVARD,NY005020460,46,46,637,637,NY005369,MIXED FINANCE/LLC2,CONVENTIONAL,New Construction,364,1424,1441,5992,4.21,733,2837,18,,30,7-14,1127650,25.89,1127650,25.89,170051,12141094,15.08,109.58,13645438,2247,480.99,LINDEN BLVD,ASHFORD ST,WORTMAN AVE,SCHENCK AVE,BROOKLYN,5,8,19,60,42,1951-03-22,,,,
BOYNTON AVENUE REHAB,NY005010320,346,32,767,533,NY005249,FEDERAL,TURNKEY,Rehabilitation,,82,82,367,4.48,,188,3,,3,4-6,30000,0.69,30000,0.69,16455,999600,54.85,272.46,4943129,13396,472.65,WATSON AVE,WARD AVE,BRUCKNER BLVD,ELDER AVE,BRONX,9,15,32,85,18,1985-08-22,,,True,
BRACETTI PLAZA,NY005012920,264,292,379,370,NY005185,FEDERAL,TURNKEY,New Construction,,108,108,538,4.98,,266,1,,2,7,44353,1.02,44353,1.02,18790,1216072,42.36,260.78,4364419,8008,584.23,E 3RD ST,AVENUE C,E 4TH ST,AVENUE B,MANHATTAN,3,12,26,74,2,1974-05-31,,,,
BREUKELEN,NY005000560,56,56,212,212,NY005011,FEDERAL,CONVENTIONAL,New Construction,,1594,1595,7469,4.69,,3612,30,2,97,3-7,2830416,64.98,2141741,49.17,360423,14297000,12.73,55.59,18410273,2464,509.71,STANLEY AVE,FLATLANDS AVE,E 103RD ST,WILLIAMS AVE,BROOKLYN,18,8,19,"58, 60",42,1952-11-06,,,,
BREVOORT,NY005000650,65,65,213,213,NY005017,FEDERAL,CONVENTIONAL,New Construction,,894,896,4187,4.68,,1969,13,1,27,7,751896,17.26,687188,15.78,121363,7735916,16.14,114.08,11831887,2849,505.6,BAINBRIDGE ST,RALPH AVE,FULTON ST,PATCHEN AVE,BROOKLYN,3,8,25,55,41,1955-08-10,,,,
BRONX RIVER,NY005010320,32,32,533,533,NY005220D,FEDERAL,CONVENTIONAL,New Construction,,1245,1246,5938.5,4.77,,3062,9,1,10,14,607297,13.94,563737,12.94,84235,10772413,13.87,219.66,12719000,2131,482.78,BRONX RIVER AVE,HARROD AVE,E 174TH ST,,BRONX,9,15,32,85,18,1951-02-28,1978/07/01-ATP 3,,,
BRONX RIVER ADDITION,NY005010320,157,32,533,533,NY005220D,FEDERAL,CONVENTIONAL,New Construction (ELD),,226,226,640,2.83,,240,2,,2,7-14,62500,1.43,62500,1.43,12286,1529115,19.66,167.83,3928000,6128,273.99,E 172ND ST,E 174TH ST,MANOR AVE,HARROD AVE,BRONX,9,15,32,85,18,1966-02-28,1978/07/01-ATP 3,EXCLUSIVELY,,
BROWN,NY005012520,325,252,336,336,NY005277,FEDERAL,TURNKEY,New Construction (ELD),,200,200,700,3.5,,218,2,,2,6,99460,2.28,99460,2.28,29354,1493904,29.51,95.61,13425060,19179,339.11,EASTERN PKWY,PROSPECT PL,HOPKINSON AVE,SAINT MARKS AVE,BROOKLYN,16,8,20,55,41,1985-07-23,,EXCLUSIVELY,True,
BROWNSVILLE,NY005000160,16,16,512,512,NY005213D,FEDERAL,CONVENTIONAL,New Construction,,1336,1338,6280,4.7,,3248,27,,46,6-7,819997,18.82,732841,16.82,188564,10371638,23,172.58,12898000,2054,461.48,SUTTER AVE,DUMONT AVE,MOTHER GASTON BLVD,ROCKAWAY AVE,BROOKLYN,16,9,20,55,41,1948-04-16,1977/07/01-ATP 1,,,
BRYANT AVENUE-EAST 174TH STREET,NY005015300,235,530,352,748,NY005145,FEDERAL,TURNKEY,New Construction,,72,72,284,3.94,,135,1,,1,6,22500,0.52,22500,0.52,9879,672864,43.91,259.62,2132334,7315,448.7,E 174TH ST,BRYANT AVE,E 173RD ST,VYSE AVE,BRONX,3,15,32,79,17,1972-08-31,,,,True
BUSHWICK,NY005020860,86,86,430,430,NY005370,MIXED FINANCE/LLC1,CONVENTIONAL,New Construction,182,1220,1220,5673,4.65,506,2950,8,,8,13-20,697736,16.02,639260,14.68,78768,11288105,11.29,184.14,20346000,3599,469.23,HUMBOLDT ST,MOORE ST,BUSHWICK AVE,FLUSHING AVE,BROOKLYN,1,7,18,53,34,1960-04-01,,,,
BUSHWICK II (GROUPS A & C),NY005012470,302,247,565,546,NY005222,FEDERAL,TURNKEY,New Construction,,299,300,1446.5,4.84,,747,25,,25,3,402930,9.25,402930,9.25,102600,3200584,25.46,80.76,20840392,14235,541.54,CENTRAL AVE,HARMAN AVE,GREEN AVE,HALSEY ST,BROOKLYN,4,"7, 8",18,"53, 54","34, 37",1984-07-19,,,True,
BUSHWICK II (GROUPS B & D),NY005012470,303,247,566,546,NY005240,FEDERAL,TURNKEY,New Construction,,300,300,1450,4.83,,726,25,1,27,3,440392,10.11,440392,10.11,102600,3200584,23.3,71.81,19608177,13339,513.37,GATES AVE,WILSON AVE,MADISON AVE,EVERGREEN AVE,BROOKLYN,4,7,18,"53, 54","34, 37",1984-07-05,,,True,
BUSHWICK II CDA (GROUP E),NY005012470,324,247,758,546,NY005263,FEDERAL,TURNKEY,New Construction,,276,276,1212,4.39,,543,5,,37,3,300000,6.89,300000,6.89,84230,2198403,28.08,78.81,20078888,16539,473.44,KNICKERBOCKER AVE,WILSON AVE,GATES AVE,MENAHAN ST,BROOKLYN,4,7,18,53,37,1986-12-10,,,True,
BUTLER,NY005001130,113,113,435,435,NY005362,FEDERAL,CONVENTIONAL,New Construction,,1476,1492,7217,4.89,,4470,6,1,7,21,558096,12.81,558096,12.81,88255,13527100,15.81,348.95,29633000,4068,469.08,E 169TH ST,E 171ST ST,WEBSTER AVE,PARK AVE,BRONX,3,15,33,79,16,1964-12-31,1995/07/13-PTA,,,
CAMPOS PLAZA II,NY005012570,286,292,593,593,NY005264,FEDERAL,CONVENTIONAL,New Construction,,224,224,1088,4.86,,515,2,,3,9-17,93155,2.14,93155,2.14,29149,2470285,31.29,240.65,17601547,16193,589.27,AVENUE B,E 14TH ST,AVENUE C,E 13TH ST,MANHATTAN,3,12,27,74,2,1983-04-30,,,True,
CAREY GARDENS,NY005011660,166,166,288,288,NY005088,FEDERAL,CONVENTIONAL,New Construction,,682,683,3095,4.54,,1709,3,2,5,15-17,364406,8.37,364406,8.37,58078,6234149,15.94,204.18,16996504,5476,460.9,W 24TH ST,NEPTUNE AVE,W 22ND ST,SURF AVE,BROOKLYN,13,8,23,46,47,1970-11-30,,,,
CARLETON MANOR,NY005010750,164,75,270,226,NY005073,FEDERAL,CONVENTIONAL,New Construction,,169,174,728.5,4.31,,357,1,,1,11,145011,3.33,145011,3.33,14051,1386194,9.69,107.21,3373126,4498,435.49,ROCKAWAY FRWY,BEACH CHANNEL DR,,,QUEENS,14,5,10,31,31,1967-03-31,,,,
CARVER,NY005000580,58,58,534,534,NY005220E,FEDERAL,CONVENTIONAL,New Construction,,1246,1246,5770,4.63,,2648,13,,13,6-15,637132,14.63,594887,13.66,97568,10275141,15.31,181,24155000,4145,524.44,E 99TH ST,PARK AVE,MADISON AVE,E 106TH ST,MANHATTAN,11,13,30,68,8,1958-02-14,1978/07/01-ATP 3,,,
